YearLow|OneyrTargetPrice|DividendShare|ChangeFromFiftydayMovingAverage|FiftydayMovingAverage|SharesOwned|PercentChangeFromTwoHundreddayMovingAverage|PricePaid|DaysLow|DividendYield|Commission|EPSEstimateNextQuarter|ChangeFromYearLow|ChangeFromYearHigh|EarningsShare|AverageDailyVolume|LastTradePriceOnly|YearHigh|EBITDA|Change_PercentChange|AnnualizedGain|ShortRatio|LastTradeDate|PriceSales|EPSEstimateCurrentYear|BookValue|u|Bid|AskRealtime|PreviousClose|DaysRangeRealtime|EPSEstimateNextYear|Volume|HoldingsGainPercent|PercentChange|TickerTrend|Ask|ChangeRealtime|PriceEPSEstimateNextYear|HoldingsGain|Change|MarketCapitalization|Name|HoldingsValue|DaysRange|AfterHoursChangeRealtime|symbol|ChangePercentRealtime|DaysValueChange|LastTradeTime|StockExchange|DividendPayDate|LastTradeRealtimeWithTime|Notes|MarketCapRealtime|ExDividendDate|PERatio|DaysValueChangeRealtime|ErrorIndicationreturnedforsymbolchangedinvalid|ChangeinPercent|HoldingsValueRealtime|PercentChangeFromFiftydayMovingAverage|PriceBook|ChangeFromTwoHundreddayMovingAverage|DaysHigh|PercentChangeFromYearLow|TradeDate|LastTradeWithTime|BidRealtime|YearRange|HighLimit|OrderBookRealtime|HoldingsGainRealtime|PEGRatio|Currency|LowLimit|HoldingsGainPercentRealtime|TwoHundreddayMovingAverage|PERatioRealtime|PercebtChangeFromYearHigh|Open|PriceEPSEstimateCurrentYear|MoreInfo
17.31|52.20|None|-4.88|36.37|None|-7.38%|None|31.20|None|None|-0.43|14.18|-8.41|0.03|315848|31.49|39.90|3.06M|-0.07 - -0.22%|None|5.90|8/14/2015|10.60|0.00|7.03|2015-08-14 13:52:00 UTC+0000|31.41|None|31.56|None|-2.29|19548|None|-0.22%|None|31.50|None|None|None|-0.07|1.08B|MacroGenics, Inc.|None|31.20 - 31.99|None|MGNX|None|None|9:52am|NMS|None|None|None|None|None|1124.64|None|None|-0.22%|None|-13.42%|4.49|-2.51|31.99|+81.92%|None|9:52am - <b>31.49</b>|None|17.31 - 39.90|None|None|None|0.00|USD|None|None|34.00|None|-21.08%|31.60|None|None
28.10|55.36|0.40|1.64|41.11|None|-7.34%|None|42.35|0.90|None|1.83|14.65|-13.45|5.79|12730500|42.75|56.20|7.99B|+0.08 - +0.19%|None|2.20|8/14/2015|0.68|8.77|5.36|2015-08-14 13:53:00 UTC+0000|42.73|None|42.67|None|6.57|544391|None|+0.19%|None|42.74|None|6.51|None|+0.08|28.72B|American Airlines Group, Inc.|None|42.35 - 42.87|None|AAL|None|None|9:53am|NMS|8/24/2015|None|None|None|8/6/2015|7.38|None|None|+0.19%|None|+3.99%|7.96|-3.39|42.87|+52.14%|None|9:53am - <b>42.75</b>|None|28.10 - 56.20|None|None|None|0.33|USD|None|None|46.14|None|-23.93%|42.35|4.86|None
8.17|25.83|None|3.54|18.94|None|+48.12%|None|22.38|None|None|0.42|14.31|-0.31|0.48|374755|22.48|22.79|15.57M|-0.03 - -0.13%|None|7.70|8/14/2015|2.23|1.22|8.15|2015-08-14 13:53:00 UTC+0000|22.48|None|22.51|None|1.62|9505|None|-0.13%|None|22.57|None|13.88|None|-0.03|339.94M|Applied Optoelectronics, Inc.|None|22.38 - 22.76|None|AAOI|None|None|9:53am|NGM|None|None|None|None|None|46.64|None|None|-0.13%|None|+18.67%|2.76|7.30|22.76|+175.15%|None|9:53am - <b>22.48</b>|None|8.17 - 22.79|None|None|None|1.03|USD|None|None|15.18|None|-1.36%|22.38|18.43|None
128.20|174.67|0.24|20.51|168.69|None|+20.65%|None|187.05|0.10|None|1.53|61.00|-3.07|6.70|1172830|189.20|192.27|1.26B|+1.41 - +0.75%|None|3.70|8/14/2015|1.39|8.26|29.36|2015-08-14 13:53:00 UTC+0000|189.02|None|187.79|None|9.59|109724|None|+0.75%|None|189.39|None|19.73|None|+1.41|13.83B|Advance Auto Parts Inc Advance|None|187.05 - 190.13|None|AAP|None|None|9:53am|NYQ|7/2/2015|None|None|None|6/17/2015|28.23|None|None|+0.75%|None|+12.16%|6.40|32.38|190.13|+47.58%|None|9:53am - <b>189.20</b>|None|128.20 - 192.27|None|None|None|1.73|USD|None|None|156.82|None|-1.60%|188.49|22.91|None
95.18|146.88|2.08|-7.75|122.98|None|-8.28%|None|114.01|1.80|None|3.19|20.05|-19.31|8.65|48786500|115.23|134.54|77.88B|+0.08 - +0.07%|None|1.30|8/14/2015|2.93|9.13|22.03|2015-08-14 13:53:00 UTC+0000|115.24|None|115.15|None|9.78|6540404|None|+0.07%|None|115.26|None|11.78|None|+0.08|657.12B|Apple Inc.|None|114.01 - 115.37|None|AAPL|None|None|9:53am|NMS|8/13/2015|None|None|None|8/6/2015|13.33|None|None|+0.07%|None|-6.30%|5.23|-10.40|115.37|+21.07%|None|9:53am - <b>115.23</b>|None|95.18 - 134.54|None|None|None|0.90|USD|None|None|125.63|None|-14.35%|114.19|12.62|None
32.84|47.00|0.93|0.59|40.71|None|-0.10%|None|41.05|2.30|None|0.43|8.46|-3.79|0.69|227967|41.30|45.09|152.16M|-0.12 - -0.29%|None|2.70|8/14/2015|7.09|1.75|17.38|2015-08-14 13:52:00 UTC+0000|41.04|None|41.42|None|1.89|4242|None|-0.29%|None|41.16|None|21.85|None|-0.12|1.85B|American Assets Trust, Inc. Com|None|41.05 - 41.30|None|AAT|None|None|9:52am|NYQ|9/25/2015|None|None|None|6/10/2015|59.51|None|None|-0.29%|None|+1.45%|2.38|-0.04|41.30|+25.76%|None|9:52am - <b>41.30</b>|None|32.84 - 45.09|None|None|None|5.32|USD|None|None|41.34|None|-8.41%|41.26|23.60|None
31.25|57.40|None|-6.13|50.87|None|-9.99%|None|44.46|None|None|1.51|13.49|-14.73|5.05|605367|44.74|59.47|390.72M|-0.04 - -0.09%|None|5.50|8/14/2015|0.60|4.97|60.49|2015-08-14 13:50:00 UTC+0000|44.79|None|44.78|None|5.02|13299|None|-0.09%|None|44.92|None|8.91|None|-0.04|1.12B|Atlas Air Worldwide Holdings|None|44.46 - 44.89|None|AAWW|None|None|9:50am|NMS|None|None|None|None|None|8.85|None|None|-0.09%|None|-12.05%|0.74|-4.97|44.89|+43.17%|None|9:50am - <b>44.74</b>|None|31.25 - 59.47|None|None|None|1.61|USD|None|None|49.71|None|-24.77%|44.69|9.00|None
45.260|63.570|0.440|-2.811|51.226|None|-14.991%|None|47.710|0.900|None|0.330|3.155|-18.475|1.292|170022|48.415|66.890|43.83M|+0.505 - +1.054%|None|18.600|8/14/2015|5.143|1.260|9.913|2015-08-14 13:52:00 UTC+0000|48.310|None|47.910|None|1.540|18663|None|+1.054%|None|48.550|None|31.438|None|+0.505|1.10B|ABAXIS, Inc.|None|47.710 - 48.550|None|ABAX|None|None|9:52am|NMS|9/17/2015|None|None|None|6/2/2015|37.473|None|None|+1.054%|None|-5.487%|4.833|-8.538|48.550|+6.971%|None|9:52am - <b>48.415</b>|None|45.260 - 66.890|None|None|None|1.940|USD|None|None|56.953|None|-27.620%|47.710|38.425|None
52.060|76.470|2.040|0.100|69.335|None|+8.214%|None|68.460|3.000|None|1.170|17.375|-2.165|1.286|9513210|69.435|71.600|7.83B|+0.895 - +1.306%|None|5.300|8/14/2015|5.406|4.260|3.325|2015-08-14 13:53:00 UTC+0000|69.370|None|68.540|None|5.020|784396|None|+1.306%|None|69.390|None|13.832|None|+0.895|114.93B|AbbVie Inc. Common Stock|None|68.460 - 69.440|None|ABBV|None|None|9:53am|NYQ|8/14/2015|None|None|None|7/13/2015|53.993|None|None|+1.306%|None|+0.145%|20.614|5.270|69.440|+33.375%|None|9:53am - <b>69.435</b>|None|52.060 - 71.600|None|None|None|0.940|USD|None|None|64.165|None|-3.024%|68.560|16.299|None
74.32|119.65|1.16|-4.05|108.10|None|-4.23%|None|103.41|1.10|None|1.27|29.73|-16.63|-1.95|1911480|104.05|120.68|1.54B|+0.17 - +0.16%|None|3.00|8/14/2015|0.17|4.97|7.28|2015-08-14 13:52:00 UTC+0000|103.77|None|103.88|None|5.58|81611|None|+0.16%|None|103.86|None|18.65|None|+0.17|22.50B|AmerisourceBergen Corporation C|None|103.41 - 104.18|None|ABC|None|None|9:52am|NYQ|9/1/2015|None|None|None|8/13/2015|None|None|None|+0.16%|None|-3.74%|14.28|-4.60|104.18|+40.00%|None|9:52am - <b>104.05</b>|None|74.32 - 120.68|None|None|None|1.27|USD|None|None|108.65|None|-13.78%|103.98|20.94|None
74.32|119.65|1.16|-4.05|108.10|None|-4.23%|None|103.41|1.10|None|1.27|29.73|-16.63|-1.95|1911480|104.05|120.68|1.54B|+0.17 - +0.16%|None|3.00|8/14/2015|0.17|4.97|7.28|2015-08-14 13:52:00 UTC+0000|103.77|None|103.88|None|5.58|81611|None|+0.16%|None|103.86|None|18.65|None|+0.17|22.50B|AmerisourceBergen Corporation C|None|103.41 - 104.18|None|ABC|None|None|9:52am|NYQ|9/1/2015|None|None|None|8/13/2015|None|None|None|+0.16%|None|-3.74%|14.28|-4.60|104.18|+40.00%|None|9:52am - <b>104.05</b>|None|74.32 - 120.68|None|None|None|1.27|USD|None|None|108.65|None|-13.78%|103.98|20.94|None
21.67|30.60|0.20|1.96|26.43|None|+9.85%|None|27.72|0.70|None|0.56|6.72|-0.16|1.14|123564|28.39|28.55|0.00|+0.63 - +2.27%|None|6.40|8/14/2015|3.96|1.46|15.12|2015-08-14 13:52:00 UTC+0000|28.34|None|27.76|None|2.42|30981|None|+2.27%|None|28.44|None|11.73|None|+0.63|913.70M|Ameris Bancorp|None|27.72 - 28.49|None|ABCB|None|None|9:52am|NMS|7/10/2015|None|None|None|6/26/2015|24.97|None|None|+2.27%|None|+7.41%|1.84|2.55|28.49|+31.01%|None|9:52am - <b>28.39</b>|None|21.67 - 28.55|None|None|None|2.31|USD|None|None|25.84|None|-0.56%|27.72|18.93|None
37.47|62.20|None|-5.33|55.32|None|-4.96%|None|49.67|None|None|0.45|12.52|-10.39|-0.58|412097|49.99|60.38|61.87M|-0.06 - -0.12%|None|7.80|8/14/2015|3.20|1.34|13.89|2015-08-14 13:51:00 UTC+0000|50.01|None|50.05|None|1.67|21242|None|-0.12%|None|50.18|None|29.93|None|-0.06|2.13B|The Advisory Board Company|None|49.67 - 50.83|None|ABCO|None|None|9:51am|NMS|None|None|None|None|None|None|None|None|-0.12%|None|-9.63%|3.60|-2.61|50.83|+33.41%|None|9:51am - <b>49.99</b>|None|37.47 - 60.38|None|None|None|2.23|USD|None|None|52.60|None|-17.21%|49.70|37.31|None
60.63|89.50|0.00|-6.61|88.68|None|-2.77%|None|81.87|0.00|None|1.42|21.44|-14.51|4.26|306553|82.07|96.58|317.30M|-0.21 - -0.26%|None|4.10|8/14/2015|0.35|5.65|13.81|2015-08-14 13:53:00 UTC+0000|82.16|None|82.28|None|6.26|12978|None|-0.26%|None|82.29|None|13.11|None|-0.21|2.19B|Asbury Automotive Group Inc Com|None|81.87 - 82.75|None|ABG|None|None|9:53am|NYQ|8/22/2008|None|None|None|7/30/2008|19.24|None|None|-0.26%|None|-7.46%|5.96|-2.34|82.75|+35.36%|None|9:53am - <b>82.07</b>|None|60.63 - 96.58|None|None|None|0.91|USD|None|None|84.41|None|-15.02%|82.31|14.53|None
5.04|18.26|0.61|-7.22|12.50|None|-66.30%|None|5.22|10.70|None|0.00|0.24|-25.47|0.08|64589|5.28|30.75|1.54B|+0.15 - +2.92%|None|1.90|8/14/2015|1.10|1.33|1.02|2015-08-14 13:53:00 UTC+0000|5.26|None|5.13|None|2.04|24409|None|+2.92%|None|5.30|None|2.59|None|+0.15|9.30B|Abengoa, S.A.|None|5.22 - 5.35|None|ABGB|None|None|9:53am|NMS|4/24/2015|None|None|None|4/14/2015|65.19|None|None|+2.92%|None|-57.77%|5.01|-10.39|5.35|+4.76%|None|9:53am - <b>5.28</b>|None|5.04 - 30.75|None|None|None|0.20|USD|None|None|15.67|None|-82.83%|5.31|3.97|None
21.00|37.56|1.60|-4.96|28.62|None|-28.82%|None|23.00|7.00|None|-0.02|2.66|-16.81|0.29|779980|23.66|40.47|357.62M|-0.33 - -1.38%|None|5.30|8/14/2015|4.75|1.16|22.79|2015-08-14 13:52:00 UTC+0000|23.62|None|23.99|None|1.93|57329|None|-1.38%|None|23.69|None|12.26|None|-0.33|2.37B|Abengoa Yield plc|None|23.00 - 24.24|None|ABY|None|None|9:52am|NMS|9/15/2015|None|None|None|5/27/2015|80.75|None|None|-1.38%|None|-17.34%|1.05|-9.58|24.24|+12.67%|None|9:52am - <b>23.66</b>|None|21.00 - 40.47|None|None|None|0.00|USD|None|None|33.24|None|-41.54%|23.85|20.40|None
21.84|47.25|None|-6.99|44.96|None|-2.53%|None|37.68|None|None|-0.35|16.13|-14.02|-1.34|1118660|37.97|51.99|-124.07M|-0.03 - -0.08%|None|12.10|8/14/2015|57121.37|-1.49|2.55|2015-08-14 13:53:00 UTC+0000|37.93|None|38.00|None|-1.12|48736|None|-0.08%|None|38.03|None|None|None|-0.03|3.82B|ACADIA Pharmaceuticals Inc.|None|37.68 - 38.18|None|ACAD|None|None|9:53am|NMS|None|None|None|None|None|None|None|None|-0.08%|None|-15.55%|14.93|-0.99|38.18|+73.86%|None|9:53am - <b>37.97</b>|None|21.84 - 51.99|None|None|None|-1.27|USD|None|None|38.96|None|-26.97%|37.91|None|None
46.87|92.62|None|1.14|79.77|None|+12.91%|None|80.62|None|None|0.59|34.04|-4.71|1.53|726188|80.91|85.62|300.87M|+0.23 - +0.29%|None|4.90|8/14/2015|4.10|2.18|23.60|2015-08-14 13:53:00 UTC+0000|80.80|None|80.68|None|2.69|54440|None|+0.29%|None|80.93|None|30.08|None|+0.23|5.80B|Acadia Healthcare Company, Inc.|None|80.62 - 81.50|None|ACHC|None|None|9:53am|NMS|None|None|None|None|None|52.71|None|None|+0.29%|None|+1.43%|3.42|9.25|81.50|+72.63%|None|9:53am - <b>80.91</b>|None|46.87 - 85.62|None|None|None|1.85|USD|None|None|71.66|None|-5.50%|81.02|37.11|None
1.00|8.08|0.00|-1.06|2.51|None|-80.64%|None|1.25|0.00|None|-5.60|0.45|-32.05|-29.11|840423|1.45|33.50|307.17M|+0.13 - +9.85%|None|4.20|8/14/2015|0.01|-23.35|65.47|2015-08-14 13:53:00 UTC+0000|1.44|None|1.32|None|-19.30|212886|None|+9.85%|None|1.45|None|None|None|+0.13|30.87M|Arch Coal, Inc. Common Stock|None|1.25 - 1.48|None|ACI|None|None|9:53am|NYQ|3/14/2014|None|None|None|2/26/2014|None|None|None|+9.85%|None|-42.14%|0.02|-6.04|1.48|+45.00%|None|9:53am - <b>1.45</b>|None|1.00 - 33.50|None|None|None|0.00|USD|None|None|7.49|None|-95.67%|1.26|None|None
28.52|43.00|None|-1.99|33.77|None|-6.69%|None|31.62|None|None|0.13|3.26|-13.67|0.24|529377|31.78|45.45|59.66M|+0.13 - +0.41%|None|13.90|8/14/2015|3.10|0.72|13.09|2015-08-14 13:52:00 UTC+0000|31.70|None|31.65|None|0.94|11495|None|+0.41%|None|31.90|None|33.81|None|+0.13|1.36B|Acorda Therapeutics, Inc.|None|31.62 - 31.80|None|ACOR|None|None|9:52am|NMS|None|None|None|None|None|131.32|None|None|+0.41%|None|-5.90%|2.42|-2.28|31.80|+11.43%|None|9:52am - <b>31.78</b>|None|28.52 - 45.45|None|None|None|1.52|USD|None|None|34.06|None|-30.08%|31.74|44.14|None
12.41|22.88|None|-0.55|14.00|None|-7.12%|None|13.44|None|None|-0.09|1.04|-7.04|-0.82|153761|13.45|20.49|-44.60M|-0.10 - -0.74%|None|8.10|8/14/2015|4.52|-0.38|10.93|2015-08-14 13:52:00 UTC+0000|13.45|None|13.55|None|-0.16|5329|None|-0.74%|None|13.55|None|None|None|-0.10|500.76M|Actua Corporation|None|13.44 - 13.55|None|ACTA|None|None|9:52am|NMS|None|None|None|None|None|None|None|None|-0.74%|None|-3.93%|1.24|-1.03|13.55|+8.38%|None|9:52am - <b>13.45</b>|None|12.41 - 20.49|None|None|None|-2.04|USD|None|None|14.48|None|-34.36%|13.49|None|None
7.88|18.00|0.50|-0.14|8.80|None|-18.07%|None|8.59|5.60|None|0.26|0.78|-11.27|-0.93|452231|8.66|19.93|16.07M|-0.10 - -1.14%|None|14.50|8/14/2015|3.11|0.70|9.05|2015-08-14 13:51:00 UTC+0000|8.65|None|8.76|None|0.91|16635|None|-1.14%|None|8.68|None|9.52|None|-0.10|439.41M|Acacia Research Corporation|None|8.59 - 8.74|None|ACTG|None|None|9:51am|NMS|8/31/2015|None|None|None|8/3/2015|None|None|None|-1.14%|None|-1.65%|0.97|-1.91|8.74|+9.90%|None|9:51am - <b>8.66</b>|None|7.88 - 19.93|None|None|None|0.63|USD|None|None|10.57|None|-56.55%|8.74|12.37|None
41.24|None|1.03|-0.75|44.07|None|-4.26%|None|43.24|1.92|None|0.00|2.08|-5.02|None|463781|43.32|48.34|None|+0.00 - +0.00%|None|None|8/14/2015|None|None|0.00|2015-08-14 13:53:00 UTC+0000|43.29|None|43.32|None|None|8998|None|+0.00%|None|43.32|None|None|None|+0.00|None|iShares MSCI ACWI Ex US Index F|None|43.24 - 43.32|None|ACWX|None|None|9:53am|NGM|None|None|None|None|None|None|None|None|+0.00%|None|-1.71%|None|-1.93|43.32|+5.04%|None|9:53am - <b>43.32</b>|None|41.24 - 48.34|None|None|None|0.00|USD|None|None|45.25|None|-10.38%|43.24|None|None
23.16|47.00|0.00|1.14|37.96|None|+3.21%|None|38.89|0.00|None|0.56|15.94|-4.15|2.28|85845|39.10|43.25|73.50M|-0.08 - -0.20%|None|3.40|8/14/2015|0.73|2.43|7.86|2015-08-14 13:53:00 UTC+0000|38.93|None|39.18|None|2.90|3069|None|-0.20%|None|39.10|None|13.48|None|-0.08|604.13M|Patrick Industries, Inc.|None|38.89 - 39.55|None|PATK|None|None|9:53am|NMS|None|None|None|None|3/19/2003|17.18|None|None|-0.20%|None|+3.00%|4.99|1.22|39.55|+68.83%|None|9:53am - <b>39.10</b>|None|23.16 - 43.25|None|None|None|1.03|USD|None|None|37.88|None|-9.60%|39.02|16.09|None
21.02|38.27|1.20|3.80|30.83|None|+17.30%|None|34.58|3.60|None|0.58|13.61|-2.30|1.01|1511320|34.63|36.93|962.20M|-0.61 - -1.73%|None|2.70|8/14/2015|0.19|3.51|16.63|2015-08-14 13:53:00 UTC+0000|34.71|None|35.24|None|4.12|90949|None|-1.73%|None|34.77|None|8.41|None|-0.61|2.97B|PBF Energy Inc. Class A Common|None|34.58 - 35.11|None|PBF|None|None|9:53am|NYQ|8/25/2015|None|None|None|8/6/2015|34.19|None|None|-1.73%|None|+12.33%|2.12|5.11|35.11|+64.75%|None|9:53am - <b>34.63</b>|None|21.02 - 36.93|None|None|None|1.19|USD|None|None|29.52|None|-6.23%|35.03|9.87|None
11.00|15.25|None|-0.81|12.96|None|-11.58%|None|11.91|None|None|0.05|1.15|-4.49|0.18|313702|12.15|16.64|33.68M|-0.05 - -0.41%|None|12.80|8/14/2015|1.05|0.27|5.32|2015-08-14 13:50:00 UTC+0000|12.16|None|12.20|None|0.33|29249|None|-0.41%|None|12.23|None|36.82|None|-0.05|367.09M|Potbelly Corporation|None|11.91 - 12.15|None|PBPB|None|None|9:50am|NMS|None|None|None|None|None|67.50|None|None|-0.41%|None|-6.25%|2.29|-1.59|12.15|+10.45%|None|9:50am - <b>12.15</b>|None|11.00 - 16.64|None|None|None|1.91|USD|None|None|13.74|None|-26.98%|12.14|45.00|None
80.76|236.50|None|-10.05|100.18|None|-48.48%|None|88.45|None|None|-1.60|9.37|-189.24|-6.47|788603|90.13|279.37|-200.35M|+1.13 - +1.27%|None|7.10|8/14/2015|None|-6.63|8.53|2015-08-14 13:53:00 UTC+0000|89.53|None|89.00|None|-6.80|10844|None|+1.27%|None|90.27|None|None|None|+1.13|2.91B|Puma Biotechnology Inc Common S|None|88.45 - 90.88|None|PBYI|None|None|9:53am|NYQ|None|None|None|None|None|None|None|None|+1.27%|None|-10.03%|10.43|-84.82|90.88|+11.60%|None|9:53am - <b>90.13</b>|None|80.76 - 279.37|None|None|None|0.39|USD|None|None|174.95|None|-67.74%|88.79|None|None
43.76|56.23|1.82|2.02|51.33|None|+0.99%|None|53.01|3.50|None|0.26|9.59|-6.86|2.88|2830440|53.35|60.21|4.67B|-0.01 - -0.02%|None|2.30|8/14/2015|1.48|3.01|33.26|2015-08-14 13:53:00 UTC+0000|53.34|None|53.36|None|3.77|175322|None|-0.02%|None|53.36|None|14.15|None|-0.01|25.72B|Pacific Gas & Electric Co. Comm|None|53.01 - 53.50|None|PCG|None|None|9:53am|NYQ|7/15/2015|None|None|None|6/26/2015|18.52|None|None|-0.02%|None|+3.93%|1.60|0.53|53.50|+21.91%|None|9:53am - <b>53.35</b>|None|43.76 - 60.21|None|None|None|3.58|USD|None|None|52.82|None|-11.39%|53.22|17.72|None
33.37|42.00|1.50|0.59|35.01|None|-4.94%|None|35.44|4.30|None|0.39|2.23|-8.60|1.46|194652|35.60|44.20|124.15M|-0.04 - -0.11%|None|5.80|8/14/2015|2.47|1.09|5.05|2015-08-14 13:51:00 UTC+0000|35.55|None|35.64|None|1.60|8372|None|-0.11%|None|35.65|None|22.25|None|-0.04|1.45B|Potlatch Corporation|None|35.44 - 35.78|None|PCH|None|None|9:51am|NMS|6/29/2015|None|None|None|6/4/2015|24.38|None|None|-0.11%|None|+1.69%|7.06|-1.85|35.78|+6.68%|None|9:51am - <b>35.60</b>|None|33.37 - 44.20|None|None|None|5.86|USD|None|None|37.45|None|-19.46%|35.55|32.66|None
990.69|1475.22|None|70.18|1211.54|None|+8.45%|None|1276.00|None|None|12.45|291.03|-113.28|44.91|605277|1281.72|1395.00|3.27B|-3.75 - -0.29%|None|2.10|8/14/2015|7.41|57.15|167.37|2015-08-14 13:53:00 UTC+0000|1281.65|None|1285.47|None|68.84|76211|None|-0.29%|None|1282.84|None|18.62|None|-3.75|64.98B|The Priceline Group Inc.|None|1276.00 - 1286.82|None|PCLN|None|None|9:53am|NMS|None|None|None|None|None|28.54|None|None|-0.29%|None|+5.79%|7.68|99.92|1286.82|+29.38%|None|9:53am - <b>1281.72</b>|None|990.69 - 1395.00|None|None|None|1.20|USD|None|None|1181.80|None|-8.12%|1283.28|22.43|None
8.96|20.50|None|-1.06|10.75|None|-14.47%|None|9.50|None|None|0.09|0.73|-9.45|0.41|47981|9.69|19.14|11.22M|+0.12 - +1.25%|None|10.20|8/14/2015|0.56|0.35|2.79|2015-08-14 13:47:00 UTC+0000|9.61|None|9.57|None|0.62|1258|None|+1.25%|None|9.71|None|15.63|None|+0.12|149.26M|Points International, Ltd.|None|9.50 - 9.70|None|PCOM|None|None|9:47am|NCM|None|None|None|None|None|23.63|None|None|+1.25%|None|-9.85%|3.43|-1.64|9.70|+8.15%|None|9:47am - <b>9.69</b>|None|8.96 - 19.14|None|None|None|1.09|USD|None|None|11.33|None|-49.37%|9.50|27.69|None
186.17|231.43|0.12|31.48|199.11|None|+11.28%|None|230.49|0.10|None|3.22|44.42|-18.53|10.21|1742870|230.59|249.12|2.83B|+0.19 - +0.08%|None|2.50|8/14/2015|3.20|12.57|81.59|2015-08-14 13:53:00 UTC+0000|230.58|None|230.40|None|14.31|147435|None|+0.08%|None|230.59|None|16.11|None|+0.19|31.71B|Precision Castparts Corporation|None|230.49 - 230.59|None|PCP|None|None|9:53am|NYQ|6/29/2015|None|None|None|6/3/2015|22.59|None|None|+0.08%|None|+15.81%|2.82|23.37|230.59|+23.86%|None|9:53am - <b>230.59</b>|None|186.17 - 249.12|None|None|None|1.78|USD|None|None|207.22|None|-7.44%|230.49|18.34|None
57.950|83.110|None|-3.190|65.175|None|-26.008%|None|60.870|None|None|0.240|4.035|-59.965|0.107|693841|61.985|121.950|22.58M|+0.295 - +0.478%|None|6.400|8/14/2015|9.774|0.830|5.334|2015-08-14 13:53:00 UTC+0000|61.910|None|61.690|None|1.480|15678|None|+0.478%|None|62.060|None|41.882|None|+0.295|2.27B|Pacira Pharmaceuticals, Inc.|None|60.870 - 62.120|None|PCRX|None|None|9:53am|NMS|None|None|None|None|None|579.299|None|None|+0.478%|None|-4.895%|11.565|-21.788|62.120|+6.963%|None|9:53am - <b>61.985</b>|None|57.950 - 121.950|None|None|None|0.990|USD|None|None|83.773|None|-49.172%|61.250|74.681|None
18.75|37.14|None|-1.32|35.79|None|+8.47%|None|33.11|None|None|-0.04|15.72|-4.12|-0.33|226911|34.47|38.59|-9.41M|-2.61 - -7.04%|None|11.60|8/14/2015|13.28|-0.03|2.15|2015-08-14 13:53:00 UTC+0000|34.46|None|37.08|None|0.12|102619|None|-7.04%|None|34.59|None|287.25|None|-2.61|1.75B|Paylocity Holding Corporation|None|33.11 - 37.82|None|PCTY|None|None|9:53am|NMS|None|None|None|None|None|None|None|None|-7.04%|None|-3.69%|17.24|2.69|37.82|+83.84%|None|9:53am - <b>34.47</b>|None|18.75 - 38.59|None|None|None|61.80|USD|None|None|31.78|None|-10.68%|36.94|1723.50|None
85.50|246.11|None|0.19|256.91|None|+31.65%|None|None|None|None|0.00|171.60|-4.58|0.92|1329100|257.10|261.68|0.00|+0.00 - +0.00%|None|0.00|4/23/2015|None|0.73|0.00|2015-04-23 19:59:00 UTC+0000|None|None|257.10|None|5.25|0|None|+0.00%|None|None|None|None|None|+0.00|None|Pharmacyclics, Inc.|None|None|None|PCYC|None|None|3:59pm|NMS|None|None|None|None|None|None|None|None|+0.00%|None|+0.07%|None|61.81|None|+200.70%|None|3:59pm - <b>257.10</b>|None|85.50 - 261.68|None|None|None|0.00|USD|None|None|195.29|None|-1.75%|257.10|None|None
27.910|69.360|None|6.426|48.799|None|+4.748%|None|54.610|None|None|0.550|27.315|-6.185|4.117|1144060|55.225|61.410|626.81M|+0.025 - +0.045%|None|6.300|8/14/2015|5.153|1.520|33.393|2015-08-14 13:53:00 UTC+0000|55.210|None|55.200|None|1.960|43718|None|+0.045%|None|55.420|None|28.176|None|+0.025|2.18B|PDC Energy, Inc.|None|54.610 - 56.300|None|PDCE|None|None|9:53am|NMS|None|None|None|None|None|13.414|None|None|+0.045%|None|+13.168%|1.653|2.503|56.300|+97.868%|None|9:53am - <b>55.225</b>|None|27.910 - 61.410|None|None|None|3.010|USD|None|None|52.722|None|-10.072%|55.290|36.095|None
36.28|48.67|1.24|-2.78|42.83|None|-10.47%|None|39.56|3.10|None|0.64|3.77|-10.12|0.76|558873|40.05|50.17|195.91M|-0.04 - -0.10%|None|5.20|8/14/2015|4.15|2.53|24.48|2015-08-14 13:53:00 UTC+0000|39.74|None|40.09|None|3.08|73787|None|-0.10%|None|39.92|None|13.00|None|-0.04|2.88B|Pebblebrook Hotel Trust Common|None|39.56 - 40.07|None|PEB|None|None|9:53am|NYQ|7/15/2015|None|None|None|6/26/2015|52.98|None|None|-0.10%|None|-6.48%|1.64|-4.68|40.07|+10.39%|None|9:53am - <b>40.05</b>|None|36.28 - 50.17|None|None|None|1.96|USD|None|None|44.73|None|-20.17%|39.89|15.83|None
