YearLow|OneyrTargetPrice|DividendShare|ChangeFromFiftydayMovingAverage|FiftydayMovingAverage|SharesOwned|PercentChangeFromTwoHundreddayMovingAverage|PricePaid|DaysLow|DividendYield|Commission|EPSEstimateNextQuarter|ChangeFromYearLow|ChangeFromYearHigh|EarningsShare|AverageDailyVolume|LastTradePriceOnly|YearHigh|EBITDA|Change_PercentChange|AnnualizedGain|ShortRatio|LastTradeDate|PriceSales|EPSEstimateCurrentYear|BookValue|u|Bid|AskRealtime|PreviousClose|DaysRangeRealtime|EPSEstimateNextYear|Volume|HoldingsGainPercent|PercentChange|TickerTrend|Ask|ChangeRealtime|PriceEPSEstimateNextYear|HoldingsGain|Change|MarketCapitalization|Name|HoldingsValue|DaysRange|AfterHoursChangeRealtime|symbol|ChangePercentRealtime|DaysValueChange|LastTradeTime|StockExchange|DividendPayDate|LastTradeRealtimeWithTime|Notes|MarketCapRealtime|ExDividendDate|PERatio|DaysValueChangeRealtime|ErrorIndicationreturnedforsymbolchangedinvalid|ChangeinPercent|HoldingsValueRealtime|PercentChangeFromFiftydayMovingAverage|PriceBook|ChangeFromTwoHundreddayMovingAverage|DaysHigh|PercentChangeFromYearLow|TradeDate|LastTradeWithTime|BidRealtime|YearRange|HighLimit|OrderBookRealtime|HoldingsGainRealtime|PEGRatio|Currency|LowLimit|HoldingsGainPercentRealtime|TwoHundreddayMovingAverage|PERatioRealtime|PercebtChangeFromYearHigh|Open|PriceEPSEstimateCurrentYear|MoreInfo
10.240|12.900|0.280|0.180|10.755|None|-9.142%|None|10.905|2.500|None|0.290|0.695|-3.425|0.569|10321000|10.935|14.360|2.18B|-0.015 - -0.137%|None|0.800|8/14/2015|0.620|0.960|9.407|2015-08-14 14:04:00 UTC+0000|10.930|None|10.950|None|1.060|708253|None|-0.137%|None|10.940|None|10.316|None|-0.015|11.69B|Xerox Corporation Common Stock|None|10.905 - 10.980|None|XRX|None|None|10:04am|NYQ|10/30/2015|None|None|None|6/26/2015|19.218|None|None|-0.137%|None|+1.675%|1.164|-1.100|10.980|+6.787%|None|10:04am - <b>10.935</b>|None|10.240 - 14.360|None|None|None|5.720|USD|None|None|12.035|None|-23.851%|10.930|11.391|None
33.85|51.24|None|-2.05|38.11|None|-14.59%|None|35.72|None|None|0.20|2.21|-16.56|7.20|13595500|36.06|52.62|541.75M|+0.13 - +0.36%|None|2.60|8/14/2015|6.94|0.67|35.68|2015-08-14 14:04:00 UTC+0000|36.05|None|35.93|None|0.68|1871573|None|+0.36%|None|36.06|None|53.03|None|+0.13|33.95B|Yahoo! Inc.|None|35.72 - 36.19|None|YHOO|None|None|10:04am|NMS|None|None|None|None|None|5.01|None|None|+0.36%|None|-5.37%|1.01|-6.16|36.19|+6.53%|None|10:04am - <b>36.06</b>|None|33.85 - 52.62|None|None|None|-2.19|USD|None|None|42.22|None|-31.47%|35.78|53.82|None
12.70|1245.71|None|-1.88|14.66|None|-22.82%|None|12.76|None|None|12.16|0.08|-19.27|1.45|2364030|12.78|32.05|566.10M|+0.01 - +0.08%|None|1.70|8/14/2015|2.34|39.11|5.99|2015-08-14 14:04:00 UTC+0000|12.78|None|12.77|None|46.94|237677|None|+0.08%|None|12.79|None|0.27|None|+0.01|4.07B|Yandex N.V.|None|12.76 - 13.09|None|YNDX|None|None|10:04am|NMS|None|None|None|None|None|8.84|None|None|+0.08%|None|-12.84%|2.13|-3.78|13.09|+0.63%|None|10:04am - <b>12.78</b>|None|12.70 - 32.05|None|None|None|1.16|USD|None|None|16.56|None|-60.12%|13.04|0.33|None
50.52|84.38|None|-0.15|61.00|None|-3.51%|None|60.50|None|None|1.05|10.33|-35.54|3.00|1388140|60.85|96.39|190.70M|+0.39 - +0.65%|None|2.30|8/14/2015|4.95|3.43|6.79|2015-08-14 14:04:00 UTC+0000|60.66|None|60.46|None|4.72|328198|None|+0.65%|None|60.93|None|12.89|None|+0.39|3.28B|YY Inc.|None|60.50 - 62.65|None|YY|None|None|10:04am|NMS|None|None|None|None|None|20.67|None|None|+0.65%|None|-0.24%|8.91|-2.21|62.65|+20.45%|None|10:04am - <b>60.85</b>|None|50.52 - 96.39|None|None|None|0.67|USD|None|None|63.06|None|-36.87%|62.00|17.74|None
68.58|93.35|None|-5.12|81.06|None|-20.31%|None|74.70|None|None|0.01|7.36|-72.60|-2.65|1720490|75.94|148.54|-9.87M|+0.98 - +1.31%|None|11.10|8/14/2015|9.21|-0.03|45.35|2015-08-14 14:04:00 UTC+0000|75.90|None|74.96|None|0.84|70271|None|+1.31%|None|75.98|None|90.40|None|+0.98|4.47B|Zillow, Inc.|None|74.70 - 75.99|None|Z|None|None|10:04am|NMS|None|None|None|None|None|None|None|None|+1.31%|None|-6.31%|1.65|-19.35|75.99|+10.73%|None|10:04am - <b>75.94</b>|None|68.58 - 148.54|None|None|None|-56.62|USD|None|None|95.29|None|-48.88%|75.00|None|None
58.95|115.20|None|-21.31|108.15|None|-12.81%|None|85.76|None|None|1.69|27.89|-32.63|-2.71|531612|86.84|119.47|417.90M|+0.10 - +0.12%|None|4.40|8/14/2015|1.54|5.65|18.69|2015-08-14 14:04:00 UTC+0000|86.66|None|86.74|None|6.84|51372|None|+0.12%|None|86.94|None|12.70|None|+0.10|4.42B|Zebra Technologies Corporation|None|85.76 - 87.35|None|ZBRA|None|None|10:04am|NMS|None|None|None|None|None|None|None|None|+0.12%|None|-19.70%|4.64|-12.76|87.35|+47.31%|None|10:04am - <b>86.84</b>|None|58.95 - 119.47|None|None|None|0.86|USD|None|None|99.60|None|-27.31%|86.74|15.85|None
6.40|17.63|0.08|-1.88|14.17|None|-19.18%|None|12.05|0.60|None|0.06|5.89|-12.06|-4.16|118092|12.29|24.35|23.77M|+0.16 - +1.32%|None|6.30|8/14/2015|0.10|0.28|23.66|2015-08-14 14:04:00 UTC+0000|12.21|None|12.13|None|1.16|8653|None|+1.32%|None|12.30|None|10.59|None|+0.16|135.19M|Olympic Steel, Inc.|None|12.05 - 12.36|None|ZEUS|None|None|10:04am|NMS|6/15/2015|None|None|None|5/28/2015|None|None|None|+1.32%|None|-13.25%|0.51|-2.92|12.36|+92.03%|None|10:04am - <b>12.29</b>|None|6.40 - 24.35|None|None|None|3.93|USD|None|None|15.21|None|-49.53%|12.05|136.56|None
16.01|54.86|None|-0.16|36.94|None|-1.36%|None|36.71|None|None|-0.88|20.77|-18.58|-2.31|252703|36.78|55.36|-55.86M|+0.11 - +0.30%|None|6.60|8/14/2015|None|-2.88|7.60|2015-08-14 14:03:00 UTC+0000|36.78|None|36.67|None|-2.92|6551|None|+0.30%|None|36.99|None|None|None|+0.11|997.36M|Zafgen, Inc.|None|36.71 - 37.18|None|ZFGN|None|None|10:03am|NMS|None|None|None|None|None|None|None|None|+0.30%|None|-0.45%|4.82|-0.51|37.18|+129.73%|None|10:03am - <b>36.78</b>|None|16.01 - 55.36|None|None|None|0.00|USD|None|None|37.29|None|-33.56%|36.74|None|None
7.80|14.00|None|-0.53|9.19|None|-28.82%|None|8.54|None|None|-0.01|0.86|-12.08|-0.62|844841|8.66|20.74|5.05M|+0.04 - +0.46%|None|10.40|8/14/2015|1.10|-0.61|8.48|2015-08-14 14:04:00 UTC+0000|8.66|None|8.62|None|0.71|60619|None|+0.46%|None|8.69|None|12.20|None|+0.04|490.69M|Horsehead Holding Corp.|None|8.54 - 8.71|None|ZINC|None|None|10:04am|NMS|None|None|None|None|None|None|None|None|+0.46%|None|-5.80%|1.02|-3.51|8.71|+11.03%|None|10:04am - <b>8.66</b>|None|7.80 - 20.74|None|None|None|-0.75|USD|None|None|12.17|None|-58.24%|8.68|None|None
23.72|34.46|0.24|-0.88|31.14|None|+5.17%|None|30.11|0.80|None|0.46|6.54|-2.77|1.08|2954070|30.26|33.03|0.00|+0.14 - +0.46%|None|3.60|8/14/2015|2.93|1.35|32.03|2015-08-14 14:04:00 UTC+0000|30.25|None|30.12|None|2.11|101585|None|+0.46%|None|30.26|None|14.34|None|+0.14|6.18B|Zions Bancorporation|None|30.11 - 30.28|None|ZION|None|None|10:04am|NMS|8/27/2015|None|None|None|5/19/2015|28.10|None|None|+0.46%|None|-2.84%|0.94|1.49|30.28|+27.57%|None|10:04am - <b>30.26</b>|None|23.72 - 33.03|None|None|None|2.16|USD|None|None|28.77|None|-8.39%|30.21|22.41|None
